sample,genus,taxon,group,country,r1,r2
2769,Gymnadenia,frivaldii,frivaldii,GRE,../chloro/raw-data/Sample_2769/2769_S41_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2769/2769_S41_L007_R2_001.fastq.gz
2759,Pseudorchis,tricuspis,Pseudorchis,SUI,../chloro/raw-data/Sample_2759/2759_S42_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2759/2759_S42_L007_R2_001.fastq.gz
2774,Gymnadenia,frivaldii,frivaldii,GRE,../chloro/raw-data/Sample_2774/2774_S43_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2774/2774_S43_L007_R2_001.fastq.gz
3312,Dactylorhiza,euxina,euxina,GEO,../chloro/raw-data/Sample_3312/3312_S44_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_3312/3312_S44_L007_R2_001.fastq.gz
671,Dactylorhiza,iberica,iberica,GRE,../chloro/raw-data/Sample_671/671_S45_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_671/671_S45_L007_R2_001.fastq.gz
544,Dactylorhiza,osmanica,incarnata_SE,TUR,../chloro/raw-data/Sample_544/544_S46_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_544/544_S46_L007_R2_001.fastq.gz
1658,Dactylorhiza,kolaensis,maculata,NOR,../chloro/raw-data/Sample_1658/1658_S47_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_1658/1658_S47_L007_R2_001.fastq.gz
561,Dactylorhiza,umbrosa,incarnata_SE,TUR,../chloro/raw-data/Sample_561/561_S48_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_561/561_S48_L007_R2_001.fastq.gz
12240,Dactylorhiza,foliosa,maculata,POR,../chloro/raw-data/Sample_12240/12240_S49_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_12240/12240_S49_L007_R2_001.fastq.gz
10452,Gymnadenia,conopsea,conopsea,GRE,../chloro/raw-data/Sample_10452/10452_S50_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_10452/10452_S50_L007_R2_001.fastq.gz
10484,Gymnadenia,densiflora,conopsea,SWE,../chloro/raw-data/Sample_10484/10484_S51_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_10484/10484_S51_L007_R2_001.fastq.gz
8712,Dactylorhiza,coccinea,incarnata,IRL,../chloro/raw-data/Sample_8712/8712_S52_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_8712/8712_S52_L007_R2_001.fastq.gz
756,Dactylorhiza,armeniaca,armeniaca,TUR,../chloro/raw-data/Sample_756/756_S53_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_756/756_S53_L007_R2_001.fastq.gz
2094,Dactylorhiza,cordigera,cordigera,GRE,../chloro/raw-data/Sample_2094/2094_S54_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_2094/2094_S54_L007_R2_001.fastq.gz
786,Dactylorhiza,iberica,iberica,TUR,../chloro/raw-data/Sample_786/786_S55_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_786/786_S55_L007_R2_001.fastq.gz
3275,Dactylorhiza,urvilleana,urvilleana,GEO,../chloro/raw-data/Sample_3275/3275_S56_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_3275/3275_S56_L007_R2_001.fastq.gz
8328,Dactylorhiza,sphagnicola,sphagnicola,SWE,../chloro/raw-data/Sample_8328/8328_S57_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_8328/8328_S57_L007_R2_001.fastq.gz
10089,Dactylorhiza,elata,elata,FRA,../chloro/raw-data/Sample_10089/10089_S58_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_10089/10089_S58_L007_R2_001.fastq.gz
15070,Nigritella,austriaca,nigra,ITA,../chloro/raw-data/Sample_15070/15070_S59_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_15070/15070_S59_L007_R2_001.fastq.gz
15537,Gymnigritella,runei,nigra,SWE,../chloro/raw-data/Sample_15537/15537_S60_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_15537/15537_S60_L007_R2_001.fastq.gz
15052,Nigritella,buschmanniae,widderi,ITA,../chloro/raw-data/Sample_15052/15052_S61_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_15052/15052_S61_L007_R2_001.fastq.gz
10576,Dactylorhiza,ochroleuca,incarnata,SWE,../chloro/raw-data/Sample_10576/10576_S62_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_10576/10576_S62_L007_R2_001.fastq.gz
15398,Nigritella,corneliana,dipl_Nigritella,FRA,../chloro/raw-data/Sample_15398/15398_S63_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_15398/15398_S63_L007_R2_001.fastq.gz
15584,Nigritella,miniata,miniata,AUT,../chloro/raw-data/Sample_15584/15584_S64_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_15584/15584_S64_L007_R2_001.fastq.gz
773,Dactylorhiza,urvilleana,urvilleana,TUR,../chloro/raw-data/Sample_773/773_S65_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_773/773_S65_L007_R2_001.fastq.gz
196,Dactylorhiza,saccifera,maculata,GRE,../chloro/raw-data/Sample_196/196_S66_L007_R1_001.fastq.gz,../chloro/raw-data/Sample_196/196_S66_L007_R2_001.fastq.gz
