task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	91/0f4a80	243871	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_SETUP (getorganelle-setup)	COMPLETED	0	2025-09-30 12:46:17.637	35s	33s	86.8%	217.1 MB	418.1 MB	120.6 MB	73.9 MB
16	54/5a6aa5	243864	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-671_S45_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:46:17.625	45.1s	43s	110.9%	639 MB	36 GB	510.5 MB	3 KB
3	3d/d392b4	243850	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2769_S41_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:46:17.592	1m 20s	1m 19s	105.0%	626.4 MB	36 GB	938.3 MB	5.4 KB
23	e4/68879d	243843	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (12240)	COMPLETED	0	2025-09-30 12:46:17.560	1m 40s	1m 39s	466.6%	4.3 GB	4.7 GB	1003.5 MB	805.7 MB
17	a6/e38662	249794	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (544)	COMPLETED	0	2025-09-30 12:46:52.625	1m 50s	1m 48s	382.9%	4.3 GB	4.8 GB	1011.8 MB	854.8 MB
21	60/ce41a1	250820	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (561)	COMPLETED	0	2025-09-30 12:47:02.698	1m 51s	1m 49s	357.6%	4.3 GB	4.8 GB	922.1 MB	762.1 MB
19	26/a8a0c1	255483	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-544_S46_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:47:58.085	1m 20s	1m 18s	107.3%	1.1 GB	36 GB	971.3 MB	5.6 KB
2	dc/a64e2d	253734	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2769)	COMPLETED	0	2025-09-30 12:47:37.832	1m 47s	1m 45s	418.6%	4.3 GB	4.7 GB	978.8 MB	825.3 MB
38	24/bad05d	243857	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:FASTQ_STATS_SR_RAW (sr-raw-seqkit-stats)	COMPLETED	0	2025-09-30 12:46:17.613	3m 14s	3m 12s	869.7%	410.2 MB	1.8 GB	14.9 GB	7.4 GB
8	b3/41ed66	258822	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2774)	COMPLETED	0	2025-09-30 12:48:42.642	1m 5s	1m 3s	370.6%	4.3 GB	4.7 GB	544.3 MB	436.1 MB
13	cb/063010	260190	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (3312)	COMPLETED	0	2025-09-30 12:48:53.828	1m 8s	1m 6s	296.8%	4.3 GB	4.8 GB	778.6 MB	646.4 MB
12	8c/bfccd0	264274	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-3312_S44_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:49:31.533	46.4s	44.9s	112.8%	631.3 MB	36 GB	738 MB	4.3 KB
29	e8/329529	266307	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-561_S48_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:49:47.866	54.6s	53.3s	108.8%	592.9 MB	36 GB	881.6 MB	4.9 KB
14	a1/721aae	263135	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (671)	COMPLETED	0	2025-09-30 12:49:24.525	1m 27s	1m 26s	310.3%	4.3 GB	4.8 GB	551 MB	446.9 MB
7	f7/cfa2ac	262357	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2759)	COMPLETED	0	2025-09-30 12:49:18.175	1m 39s	1m 38s	279.4%	4.4 GB	5 GB	796.6 MB	659.6 MB
6	5b/86eb98	269843	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2759_S42_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:50:17.948	52.4s	51s	115.4%	664.7 MB	36 GB	756.1 MB	4.6 KB
9	0a/b763b4	274820	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2774_S43_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-30 12:50:57.035	31.5s	30.1s	115.4%	626.4 MB	36 GB	503.8 MB	3 KB
